-132;-264;916;moving
-130;-279;926;moving
-132;-277;916;moving
-126;-285;917;moving
-131;-278;920;moving
-130;-283;925;moving
-135;-270;939;moving
-120;-282;927;moving
-127;-279;910;moving
-118;-273;913;moving
-131;-279;924;moving
-142;-225;986;moving
-127;-245;918;moving
-122;-224;926;moving
-123;-177;947;moving
-115;-197;926;moving
-123;-153;968;moving
-114;-150;970;moving
-100;-137;1006;moving
-81;-113;940;moving
-59;-78;1011;moving
-10;-64;929;moving
-2;-41;922;moving
3;-42;962;moving
2;-47;965;moving
3;-45;968;moving
0;-38;982;moving
-3;-27;980;moving
-4;-16;971;moving
-4;-13;954;moving
-9;-8;966;moving
-10;-13;970;moving
-11;-3;965;moving
-16;-1;959;moving
-18;5;963;moving
-21;14;970;moving
-19;16;961;moving
-28;36;935;moving
-47;33;1003;moving
-52;44;983;moving
-53;56;891;moving
-73;61;1014;moving
-69;54;922;moving
-83;60;955;moving
-104;77;995;moving
-103;75;947;moving
-105;69;959;moving
-114;89;973;moving
-107;103;947;moving
-115;107;980;moving
-110;98;961;moving
-110;104;946;moving
-111;101;955;moving
-110;109;948;moving
-112;115;946;moving
-111;107;948;moving
-115;122;951;moving
-115;117;947;moving
-114;120;950;moving
-114;115;946;moving
-110;113;946;moving
-117;115;955;moving
-104;87;930;moving
-127;104;985;moving
-106;66;953;moving
-106;54;929;moving
-109;56;978;moving
-102;40;959;moving
-92;28;984;moving
-75;21;948;moving
-74;26;941;moving
-63;9;956;moving
-57;4;942;moving
-40;-24;955;moving
-39;-31;952;moving
-36;-38;948;moving
-33;-52;931;moving
-30;-73;955;moving
-33;-85;947;moving
-40;-76;989;moving
-35;-86;957;moving
-37;-82;962;moving
-43;-75;981;moving
-43;-56;976;moving
-45;-31;964;moving
-45;-6;965;moving
-45;4;985;moving
-35;25;950;moving
-42;59;956;moving
-37;81;959;moving
-2;55;830;moving
-39;108;947;moving
-41;97;968;moving
-53;126;966;moving
-45;120;962;moving
-46;121;956;moving
-44;134;940;moving
-45;137;933;moving
-49;148;949;moving
-48;207;932;moving
-80;161;1071;moving
-55;214;1049;moving
-21;231;882;moving
-21;243;931;moving
-6;258;900;moving
-25;272;935;moving
-33;292;1060;moving
8;350;941;moving
25;412;789;moving
35;403;861;moving
34;415;859;moving
31;418;878;moving
37;438;851;moving
38;428;840;moving
29;449;848;moving
44;485;833;moving
36;491;827;moving
37;484;830;moving
40;492;817;moving
39;481;830;moving
37;510;815;moving
-2;489;780;moving
39;552;837;moving
31;540;771;moving
27;538;806;moving
33;553;793;moving
32;569;773;moving
44;579;721;moving
33;591;753;moving
31;592;753;moving
29;591;789;moving
37;602;744;moving
53;617;728;moving
62;640;677;moving
48;636;720;moving
53;634;720;moving
50;645;721;moving
49;663;685;moving
35;655;665;moving
61;677;662;moving
65;680;675;moving
62;698;637;moving
69;715;597;moving
66;719;608;moving
65;740;593;moving
64;743;614;moving
56;759;573;moving
54;763;575;moving
61;763;581;moving
53;778;565;moving
66;781;564;moving
66;785;543;moving
64;792;515;moving
59;801;530;moving
59;803;516;moving
50;819;512;moving
57;814;511;moving
58;813;503;moving
30;858;508;moving
50;833;430;moving
43;839;480;moving
41;846;434;moving
22;873;426;moving
32;855;426;moving
39;840;446;moving
30;849;432;moving
30;833;432;moving
36;843;413;moving
20;803;533;moving
14;799;542;moving
7;793;534;moving
9;773;569;moving
7;747;577;moving
-2;746;634;moving
0;720;622;moving
-12;702;627;moving
-14;702;656;moving
-19;686;661;moving
-13;647;686;moving
-20;649;693;moving
-28;608;767;moving
-22;601;742;moving
-25;584;773;moving
-18;546;783;moving
-5;495;785;moving
-12;519;806;moving
-1;467;804;moving
51;399;776;moving
-40;427;897;moving
-60;347;926;moving
-64;330;902;moving
-70;305;917;moving
-78;269;935;moving
-84;253;964;moving
-79;232;878;moving
-83;229;912;moving
-80;185;976;moving
-65;163;901;moving
-68;137;940;moving
-71;124;953;moving
-75;89;975;moving
-84;46;1056;moving
-84;59;946;moving
-81;40;933;moving
-92;32;975;moving
-90;27;942;moving
-98;9;994;moving
-94;-7;976;moving
-91;-4;960;moving
-98;2;952;moving
-96;-8;940;moving
-95;-28;986;moving
-91;-46;975;moving
-97;-31;955;moving
-92;-50;963;moving
-99;-37;954;moving
-98;-41;954;moving
-100;-56;957;moving
-104;-76;982;moving
-101;-86;933;moving
-109;-99;956;moving
-119;-84;950;moving
-114;-117;949;moving
-115;-119;955;moving
-115;-136;949;moving
-121;-123;935;moving
-116;-156;945;moving
-127;-163;960;moving
-129;-173;963;moving
-130;-175;946;moving
-128;-170;940;moving
-128;-164;941;moving
-131;-168;948;moving
-130;-168;948;moving
-132;-160;940;moving
-141;-170;955;moving
-135;-175;941;moving
-138;-186;954;moving
-140;-199;954;moving
-134;-216;947;moving
-140;-185;945;moving
-133;-200;943;moving
-127;-179;954;moving
-122;-178;919;moving
-100;-215;896;moving
-113;-140;1011;moving
-106;-132;1021;moving
-75;-124;977;moving
-30;-111;853;moving
-52;-85;1074;moving
-5;-103;847;moving
-26;-78;1017;moving
-18;-75;1056;moving
-4;-62;917;moving
5;-60;996;moving
7;-44;1073;moving
32;-37;887;moving
25;-31;1011;moving
33;-30;1013;moving
38;-4;938;moving
54;-4;958;moving
55;27;950;moving
56;43;969;moving
59;58;1012;moving
73;61;945;moving
72;64;946;moving
74;68;953;moving
70;71;963;moving
63;93;950;moving
68;66;964;moving
62;77;966;moving
61;69;976;moving
63;72;967;moving
64;66;955;moving
63;64;960;moving
64;66;966;moving
62;76;961;moving
65;70;983;moving
68;84;948;moving
69;87;950;moving
67;98;960;moving
67;99;954;moving
69;95;954;moving
67;105;958;moving
67;102;957;moving
64;105;961;moving
65;108;960;moving
72;104;972;moving
80;106;949;moving
90;104;988;moving
122;115;916;moving
122;138;958;moving
123;152;959;moving
138;148;904;moving
139;130;1029;moving
151;159;923;moving
164;170;901;moving
159;171;933;moving
167;158;964;moving
175;156;931;moving
178;166;945;moving
179;169;947;moving
198;161;914;moving
199;161;949;moving
213;168;902;moving
219;162;933;moving
223;165;953;moving
227;163;929;moving
234;159;932;moving
250;155;925;moving
257;148;874;moving
274;132;897;moving
284;134;876;moving
281;127;901;moving
289;101;859;moving
279;77;936;moving
276;59;953;moving
280;50;877;moving
267;31;944;moving
250;26;968;moving
251;29;949;moving
255;15;918;moving
248;13;952;moving
242;23;928;moving
226;32;914;moving
202;44;988;moving
200;43;888;moving
176;41;962;moving
156;49;979;moving
144;49;961;moving
128;57;962;moving
125;64;964;moving
104;78;954;moving
95;77;988;moving
74;112;967;moving
72;115;956;moving
26;169;825;moving
50;98;1030;moving
47;115;974;moving
